,Type,Item,NumObs,TotCnt,TotMod,AvgCnt,AvgMod,Tstat,AvgErr,PctErr,PctRMSE,MAPE,CorrCoef,SumSqErr,MeanSqErr,Miles,kVMT,kVHT_FF,kVHT_CTime
0,Areawide,All,385,1769218.156736,2017863.0315940501,4595.371835677922,5241.202679465066,1.5582943927762676,645.8308437871437,14.053940940600055,49.78328223388201,54.95279208557402,0.9361613271412187,2014972386.053474,5233694.5092298025,113.81619476098601,558.7837674091757,825.325706200327,917.415687578554
1,Freeways,All,9,234867.3111,258832.48247843306,26096.367899999997,28759.164719825894,0.6399861589518514,2662.796819825897,10.203706623196007,17.534956863797664,10.279415233545247,0.9497055731352773,188456901.21513247,20939655.690570276,5.374999999999999,167.68678135504518,163.66881647839787,176.5649668605847
2,Non-Freeways,All,376,1534350.845636,1759030.5491156168,4080.720334138298,4678.272737009619,1.8450023807218845,597.5524028713212,14.643306915015602,54.01083912791772,56.022101637883225,0.8966247380038694,1826515484.8383415,4857753.949038142,108.44119476098601,391.0969860541304,661.6568897219291,740.8507207179691
3,Urban,All,247,1304617.751631,1471977.2682284894,5281.853245469636,5959.422138576881,1.3191843032997983,677.5688931072445,12.828241558744756,47.37714502674021,57.35715837049688,0.9200791387336403,1546704633.5652237,6261962.079211432,46.16856645907733,332.838473841741,536.6794144456428,606.7260766213303
4,Rural,All,138,464600.405105,545885.7633655606,3366.669602210145,3955.6939374315984,0.86910857698696,589.0243352214534,17.495757077996956,54.71508578918994,50.64932489444396,0.9611397478934754,468267752.48825014,3393244.583248189,67.64762830190867,225.94529356743465,288.6462917546841,310.68961095722364
5,Interstates,All,6,166779.66,178756.09080112173,27796.61,29792.681800186954,0.4929776585851141,1996.0718001869536,7.180990056654224,13.289784895444441,7.964310866720559,0.9341297611928369,81878677.84423092,13646446.30737182,4.5169999999999995,140.115900082516,132.02457571179272,143.0409417781029
6,Non-Interstate Freeway,All,3,68087.6511,80076.39167731135,22695.883700000002,26692.13055910378,0.3744656300634119,3996.2468591037796,17.607804621874138,26.261922385892607,14.90962396719463,0.9944049881339416,106578223.37090158,35526074.4569672,0.8580000000000001,27.570881272529192,31.64424076660518,33.524025082481764
7,Principal Arterial,All,16,195095.02525,224761.81892138105,12193.439078125,14047.613682586316,0.7837171939726189,1854.1746044613155,15.20633016314241,28.98083928637882,23.245755148550188,0.9015457887420415,199799466.92721972,12487466.682951232,3.2569999999999997,48.437528547651745,76.1061258757232,89.37698361770697
8,Minor Arterial,All,139,749258.5644670001,797402.9347199202,5390.349384654677,5736.711760574965,0.6456796906935411,346.3623759202883,6.425601592845125,46.07624500795358,45.81531660601476,0.8508299318564919,857438123.8365232,6168619.5959462095,25.644,136.70208446475638,247.0502913460033,282.5945721623934
9,Major Collector,All,145,440657.99789,509929.90001160506,3039.0206751034484,3516.7579311145178,1.1902030085247512,477.73725601106935,15.720105490720531,63.35697121161113,51.72279779922982,0.8983404954144293,537556511.3217432,3707286.2849775394,52.065006664672666,147.03261772495443,244.2287084792098,272.0707810838257
