,Type,Item,NumObs,TotCnt,TotMod,AvgCnt,AvgMod,Tstat,AvgErr,PctErr,PctRMSE,MAPE,CorrCoef,SumSqErr,MeanSqErr,Miles,kVMT,kVHT_FF,kVHT_CTime
0,Areawide,All,383,427797.0252077,491306.82449504815,1116.9635122916447,1282.7854425458177,1.7347868888104319,165.8219302541729,14.845778615808175,49.01721777094707,54.68256379695742,0.9299158797978687,114808504.67028327,299761.1087996952,112.864194760986,134.724236695237,201.72461350100033,224.7007124736354
1,Freeways,All,9,52076.5707,60680.92099931087,5786.285633333333,6742.3245554789855,1.0178957667524504,956.0389221456526,16.522497898101562,21.450715237583587,15.343858269343599,0.9527935184826295,13865189.230690937,1540576.581187882,5.374999999999999,39.11604794625759,38.18373029526774,41.1382977552849
2,Non-Freeways,All,374,375720.4545077,430625.9034957373,1004.6001457425134,1151.4061590795116,1.9415348438459021,146.80601333699815,14.613377666642867,51.71419211726285,55.629217138531,0.8882289903696773,100943315.43959233,269901.91294008645,107.48919476098601,95.60818874897942,163.54088320573257,183.5624147183505
3,Urban,All,247,318604.5380357,360913.48781827674,1289.8969151242914,1461.188209790594,1.4462997715551884,171.29129466630275,13.279456106753889,46.858757860023445,55.650232397593435,0.9087777978566824,90237801.44378194,365335.2285173358,46.16856645907733,80.09660260073824,131.3596840318077,148.99395488551326
4,Rural,All,136,109192.487172,130393.33667677145,802.8859350882352,958.7745343880254,1.0052393052687116,155.88859929979014,19.41603314830249,52.940189188822536,52.925106853155256,0.9654145904719684,24570703.226501323,180666.93548898032,66.69562830190867,54.627634094498795,70.36492946919263,75.70675758812216
5,Interstates,All,6,36838.551,41853.723487903706,6139.7585,6975.620581317285,0.8856689700825393,835.8620813172847,13.613924412780808,16.941189830429085,13.329679062037439,0.939460334116098,6491448.951511423,1081908.158585237,4.5169999999999995,32.69117619341702,30.77807505730063,33.29114480884921
6,Non-Interstate Freeway,All,3,15238.0197,18827.197511407172,5079.3399,6275.732503802391,0.5058259787209537,1196.392603802391,23.55409614943058,30.86569177334464,19.372216683955923,0.9940518017481301,7373740.279179514,2457913.4263931713,0.8580000000000001,6.424871752840569,7.405655237967122,7.84715294643569
7,Principal Arterial,All,16,45974.801606,50716.20960172183,2873.425100375,3169.7631001076143,0.5374905219876257,296.3379997326142,10.313058088548757,26.032414097755712,21.8648332993065,0.9007630121815728,8952588.70679299,559536.7941745619,3.2569999999999997,10.740027674880665,16.853941598570835,19.774150775460214
8,Minor Arterial,All,138,185594.51742500003,198220.44489515873,1344.8878074275365,1436.3800354721648,0.7178528195709426,91.49222804462829,6.802963603308445,44.2146613738431,43.066400363977415,0.8451555313245077,48795953.14044747,353593.86333657586,25.04,33.23466728285898,61.233419335590185,70.81140212596556
9,Major Collector,All,144,108306.54048,126317.4667472441,752.1287533333333,877.2046301891952,1.3685045349156733,125.0758768558619,16.629583206537774,60.16643571289085,52.520092598530056,0.8794079331325203,29488687.592563067,204782.55272613242,51.71700666467267,36.41781814083808,61.13286383861839,68.01254156841715
10,Minor Collector,All,25,8203.039999999999,12546.294742570395,328.12159999999994,501.8517897028158,2.025644753471422,173.73018970281584,52.94689215913121,102.281718699206,93.66356786103461,0.5994241872556497,2815825.153506945,112633.0061402778,15.911188096313332,8.381312815734479,11.97259415623649,12.16606506388389
11,Local Road or Street,All,25,7189.915,10177.976529644327,287.5966,407.1190611857731,1.433969377880054,119.52246118577307,41.55906613144003,98.45129008778149,115.61030799120351,0.6393839130055571,2004242.7738275,80169.7109531,8.112,2.640822188717937,5.159137455089331,5.324207572012023
12,Ramps,All,26,20451.6399967,32647.510979397928,786.6015383346154,1255.6734992076126,2.782815622652123,469.07196087299724,59.63272864506616,74.32110031159385,66.06101524225105,0.9271158559592556,8886018.072454369,341769.92586362956,3.452,4.1935406459492945,7.18892682162736,7.474047612611676
13,Urban Interstates,All,2,14886.92,17994.538007940882,7443.46,8997.269003970441,4.81358325348971,1553.8090039704412,20.874821708861752,21.59849536764234,21.13643503956,-1.0,5169240.147474125,2584620.0737370625,2.145,19.29946824060224,19.29946824060224,21.454103646084743
14,Urban Non-Interstate Freeway,All,3,15238.0197,18827.197511407172,5079.3399,6275.732503802391,0.5058259787209537,1196.392603802391,23.55409614943058,30.86569177334464,19.372216683955923,0.9940518017481301,7373740.279179514,2457913.4263931713,0.8580000000000001,6.424871752840569,7.405655237967122,7.84715294643569
15,Urban Principal Arterial,All,14,36031.913259,39153.66558982929,2573.7080899285716,2796.6903992735206,0.4566397512081959,222.98230934494904,8.663853924130825,27.070868419702666,22.857923232014414,0.8596270039089594,6795962.705203877,485425.90751456266,2.8179999999999996,7.878684686437989,13.358297419384238,15.915898934650057
16,Urban Minor Arterial,All,120,173490.52411,184681.02424326958,1445.7543675833333,1539.0085353605798,0.6640762808372995,93.2541677772465,6.450208269688753,43.83599996663829,45.72092412324329,0.8327901121872858,48198342.984533004,401652.8582044417,19.467,29.035304812573,55.76207734951748,65.22770119423294
17,Urban Major Collector,All,76,57605.245,65668.5407362755,757.96375,864.0597465299409,1.1363077108190536,106.09599652994086,13.997502720933667,55.31340270919351,58.381019930550615,0.7586378342861826,13358915.885323813,175775.2090174186,15.62256645907733,12.308690287809036,26.188422921947332,28.785904641564315
