Volume Corridor,Route,From/To,Node 1,To/From,Node 2,Length (miles),Number of Lanes,Avg PM Peak Hour Volume (both directions),PM Peak Hour LOS,Avg Daily Model Volume (both directions),Daily LOS
1,A SR-20 Spur,Anacortes Ferry Terminal,6847,Sharpes Corner,622,7.9,4.0,860,C,"10,229",C
2,B SR-20 Rural,Deception Pass,6982,Gibraltar Rd,650,4.9,2.0,"1,452",D,"18,021",F
3,C SR-20 Urban,Gibraltar Rd,650,Swinomish Channel,679,4.4,4.0,"2,348",C,"29,716",C
4,D SR-20 Rural,Swinomish Channel,679,Pulver Rd,605,7.1,4.0,"2,403",C,"31,472",C
5,E SR-536 Rural,SR-20,700,Valley View Dr,7066,3.2,2.0,528,C,"6,965",C
6,F SR-536 Urban,Valley View Dr,7066,I-5 at Kincaid,812,2.3,2.0,650,C,"8,595",D
7,G SR-9 Rural South,SR-9 South External,1361,SR-538 College Way,6432,12.1,2.0,251,C,"2,926",C
8,H SR-538 College Way Urban,I-5,734,SR-9,6432,3.7,4.0,"1,396",D,"18,342",D
9,I I-5 Rural South,I-5 South External,1087/1088,Old Highway 99,1867/1868,6.6,6.0,"2,338",B,"29,273",B
10,J I-5 Urban Mount Vernon,Old Highway 99,1867/1868,Skagit River,687/688,4.9,4.0,"2,530",B,"31,910",B
11,K I-5 Urban Burlington,Skagit River,687/688,Cook Rd,402/403,3.9,4.0,"2,498",B,"31,742",B
12,L I-5 Rural North,Cook Rd,402/403,Cook Rd,402/403,10.1,4.0,"1,748",B,"21,985",B
13,M SR-11 Rural,Burlington Blvd/Josh Wilson Rd,6723,SR-11 External,192,14.1,2.0,375,C,"4,581",C
14,N SR-20 Burlington Sedro-Woolley,Pulver Rd,605,Helmick Rd,317,8.9,2.0,"1,249",D,"16,141",F
15,O SR-9 Rural Middle,SR-538 College Way,6432,Skagit River,6763,5.2,2.0,474,C,"5,727",C
16,P SR-9 Urban,Skagit River,6763,Kalloch Rd,289,4.1,2.0,760,D,"10,277",D
17,Q SR-9 Rural North,Kalloch Rd,289,SR-9 North External,190,7.9,2.0,205,C,"2,213",C
18,R SR-20 Rural East,Helmick Rd,317,SR-20 East External,317,30.4,2.0,617,C,"7,922",C
