ID,NO,Name,AADT,Auto_AADT,Trk_AADT,Auto_XX_O,Auto_XX_D,Trk_XX_O,Trk_XX_D,Auto_XIIX_OD,Trk_XIIX_OD,XI_W%,IX_W%,X_NW%,Auto_XX_O_Out,Auto_XX_D_Out,Trk_XX_O_Out,Trk_XX_D_Out,Auto_XIIX_OD_Out,Trk_XIIX_OD_Out,Auto_IX%,Auto_XX%,AutoXXO%,AutoXXD%,Trk_IX%,Trk_XX%,Trk_XXO%,Trk_XXD%,Truck XXO %,Truck XXD %
637,1000,US 395 N External,12447,11020,1427,294.5724,294.5724,132.0128,132.0128,10430.8552,1162.9744,0.7,0.1,0.2,68,127,420,280,10825,727,0.98,0.02,0.01,0.01,0.51,0.49,0.29,0.2,0.29,0.2
637,1001,US 395 N External,12447,11020,1427,294.5724,294.5724,132.0128,132.0128,10430.8552,1162.9744,0.7,0.1,0.2,68,127,420,280,10825,727,0.98,0.02,0.01,0.01,0.51,0.49,0.29,0.2,0.29,0.2
638,1002,Spotted External N,441,303,138,5.0097,5.0097,0,0,292.9806,138,0.7,0.1,0.2,3,4,22,17,297,78,0.98,0.02,0.01,0.01,0.61,0.39,0.21,0.18,0.16,0.13
639,1003,Short External N,961,770,191,0,0,0,0,770,191,0.7,0.1,0.2,2,0,30,24,768,109,1,0,0,0,0.61,0.39,0.21,0.18,0.16,0.13
640,1004,Division External N,223,169,55,4.9903,4.9903,0,0,159.0194,55,0.7,0.1,0.2,8,11,8,7,150,31,0.89,0.11,0.04,0.07,0.61,0.39,0.21,0.18,0.16,0.13
641,1005,Newport External N,8879,7967,912,251.4845,251.4845,87.8078,87.8078,7464.031,736.3844,0.7,0.1,0.2,124,171,191,162,7673,558,0.96,0.04,0.02,0.02,0.61,0.39,0.21,0.18,0.21,0.18
642,1006,Elk Camden External N,326,237,89,0.9981,0.9981,0,0,235.0038,89,0.7,0.1,0.2,2,4,14,11,231,51,0.97,0.03,0.01,0.02,0.61,0.39,0.21,0.18,0.16,0.13
643,1007,Jefferson External N,213,204,10,0,0,0,0,204,10,0.7,0.1,0.2,0,0,1,1,203,5,1,0,0,0,0.61,0.39,0.21,0.18,0.16,0.13
644,1008,Blanchard External E,481,453,29,7.9902,7.9902,0,0,437.0196,29,0.7,0.1,0.2,5,5,0,0,471,0,0.98,0.02,0.01,0.01,0.61,0.39,0.21,0.18,0.16,0.13
645,1009,Trent External E,10508,8889,1619,13.9728,13.9728,43.6413,43.6413,8861.0544,1531.7174,0.7,0.1,0.2,25,37,123,52,8827,1444,0.99,0.01,0.01,0,0.89,0.11,0.08,0.03,0.08,0.03
646,1010,Wellesley External E,12686,10667,2019,58.8854,58.8854,39.2156,39.2156,10549.2292,1940.5688,0.7,0.1,0.2,95,110,204,66,10463,1749,0.98,0.02,0.01,0.01,0.87,0.13,0.1,0.03,0.1,0.03
647,1011,I-90 Eastern External E,63933,58420,5514,1418.250065,1418.250065,1041.511361,1041.511361,55583.49987,3430.977278,0.7,0.1,0.2,688,551,1475,1830,57180,2208,0.98,0.02,0.01,0.01,0.4,0.6,0.27,0.33,0.27,0.33
648,1012,Elder External E,1138,927,210,8.9825,8.9825,0,0,909.035,210,0.7,0.1,0.2,0,14,4,4,1077,16,0.99,0.01,0,0.01,0.61,0.39,0.21,0.18,0.16,0.13
