HHSIZE,HH1,HH2,HH3,HH4
1,1,0,0,0
1.1,0.739929,0.11675,0.143321,0
1.2,0.677821,0.145368,0.176811,0
1.3,0.61858,0.171237,0.210182,0
1.4,0.562658,0.194194,0.243147,0
1.5,0.503402,0.211257,0.271729,0.013613
1.6,0.446536,0.223541,0.29686,0.033064
1.7,0.395729,0.232756,0.320361,0.051153
1.8,0.350521,0.239219,0.342332,0.067928
1.9,0.31042,0.243233,0.362889,0.083458
2,0.274931,0.245082,0.382158,0.097828
2.1,0.243577,0.245026,0.400269,0.111129
2.2,0.215905,0.243297,0.417344,0.123454
2.3,0.191499,0.2401,0.433505,0.134895
2.4,0.169979,0.235616,0.448863,0.145541
2.5,0.151004,0.229999,0.463521,0.155475
2.6,0.134268,0.223384,0.477574,0.164774
2.7,0.119501,0.215884,0.491106,0.17351
2.8,0.106462,0.207595,0.504197,0.181747
2.9,0.09494,0.198599,0.516915,0.189545
3,0.084752,0.188965,0.529325,0.196958
3.1,0.075735,0.178748,0.541483,0.204035
3.2,0.067746,0.167994,0.55344,0.21082
3.3,0.060661,0.156743,0.565244,0.217353
3.4,0.054372,0.145023,0.576936,0.22367
3.5,0.048784,0.132858,0.588554,0.229804
3.6,0.043813,0.120267,0.600135,0.235785
3.7,0.039386,0.107262,0.611711,0.241641
3.8,0.035441,0.093851,0.623311,0.247396
3.9,0.031921,0.080039,0.634965,0.253074
4,0.028778,0.065827,0.646698,0.258696
4.1,0.025967,0.051213,0.658537,0.264283
4.2,0.023452,0.036192,0.670505,0.269851
